시설명,시군구 명칭,도로명주소,전화번호,운영시간,휴무일,주차 가능여부,입장 가능 동물 크기,반려동물 제한사항,장소(실내) 여부,장소(실외)여부,애견 동반 추가 요금,위도,경도,최종작성일
클리어스펫푸드,마포구,서울특별시 마포구 동교로29길 48,,정보없음,정보없음,N,모두 가능,제한사항 없음,Y,N,없음,37.56252547,126.922781,2022-11-30
킨더독,송파구,서울특별시 송파구 삼전로 53,02-6959-5979,토~일 12:00~20:00,매주 월~금,Y,10kg 이하,맹견류 입장 불가,Y,N,없음,37.50389477,127.087266,2022-11-30
테이블에이 본점,마포구,서울특별시 마포구 와우산로 146,02-324-5542,매일 12:00~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.5540614,126.929517,2022-11-30
톨리커피,노원구,서울특별시 노원구 상계로9나길 9,0507-1345-9868,수~월 11:00~20:00,매주 화요일,N,모두 가능,제한사항 없음,Y,N,없음,37.66018884,127.068065,2022-11-30
투테일즈 수제간식,성동구,서울특별시 성동구 성덕정길 33,070-8065-3420,화~일 12:00~20:00,매주 월요일,N,모두 가능,제한사항 없음,Y,N,없음,37.53904486,127.04748,2022-11-30
펠앤콜,마포구,서울특별시 마포구 와우산로 39-21,070-4411-1434,매일 12:00~21:00,연중무휴,N,모두 가능,제한사항 없음,Y,N,없음,37.54816344,126.922166,2022-11-30
펫티 애견카페,강서구,서울특별시 강서구 공항대로 222,0507-1333-0043,매일 10:30~21:00,연중무휴,Y,소형,제한사항 없음,Y,Y,"3,000원",37.55866871,126.832173,2022-11-30
포동푸딩,성동구,서울특별시 성동구 서울특별시숲2길 21,0507-1360-8308,화~일 11:30~20:30,매주 월요일,N,모두 가능,제한사항 없음,Y,N,없음,37.54711357,127.041014,2022-11-30
포포앤미루 강동점,강동구,서울특별시 강동구 양재대로89가길 30,02-471-8825,수~월 13:00~21:00,매주 화요일,Y,모두 가능,제한사항 없음,Y,N,없음,37.52526883,127.134245,2022-11-30
프리독애견카페,동작구,서울특별시 동작구 여의대방로22바길 2,070-8628-5314,화~일 11:00~21:00,매주 월요일,N,모두 가능,제한사항 없음,Y,N,없음,37.49756878,126.922925,2022-11-30
하우디,송파구,서울특별시 송파구 송이로 6,,"월~토 10:00~21:00, 일 11:00~21:00",매주 화요일,Y,모두 가능,안고 있어야 함,Y,N,없음,37.50395293,127.114997,2022-11-30
한남베르그,용산구,서울특별시 용산구 이태원로54길 58,0507-1331-1750,매일 11:00~22:00,연중무휴,N,모두 가능,제한사항 없음,Y,N,없음,37.53597243,127.000958,2022-11-30
한스펌킨 쇼룸 카페,서초구,서울특별시 서초구 양재천로 97,02-502-1502,월~금 11:00~18:00,"매주 토, 일",N,모두 가능,실외만 동반 가능,Y,Y,없음,37.47623988,127.03988,2022-11-30
행복감,서대문구,서울특별시 서대문구 연희로11가길 51,02-6052-5380,매일 11:00~20:00,연중무휴,N,모두 가능,제한사항 없음,Y,N,없음,37.56634872,126.92755,2022-11-30
헌드레드일레븐,서초구,서울특별시 서초구 서초대로 3-4,,매일 08:00~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.48603179,126.983084,2022-11-30
험블커피,송파구,서울특별시 송파구 오금로38가길 33,02-400-1579,"월~금 08:00~19:00, 토~일 09:00~19:00",연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.49944981,127.126945,2022-11-30
혼자두면장판뜯어서차린개카페,관악구,서울특별시 관악구 남부순환로 1665,0507-1400-3058,매일 11:00~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,Y,없음,37.48512152,126.935676,2022-11-30
fondcoffee,마포구,서울특별시 마포구 동교로15길 32,,토~월 12:00~21:00,매주 금요일,N,모두 가능,제한사항 없음,Y,N,없음,37.5561191,126.914146,2022-11-30
Im,서초구,서울특별시 서초구 동광로 183,02-593-6700,매일 08:00~19:00,연중무휴,Y,모두 가능,제한사항 없음,Y,Y,없음,37.49380373,127.001714,2022-11-30
JOFREE CAKE,성동구,서울특별시 성동구 성덕정길 42,0507-1321-6925,화~일 10:00~20:00,매주 월요일,Y,모두 가능,제한사항 없음,Y,N,없음,37.53854178,127.048271,2022-11-30
OMW 애견카페,강서구,서울특별시 강서구 화곡로 194-26,0507-1332-4725,화~일 12:00~21:00,매주 월요일,Y,모두 가능,제한사항 없음,Y,Y,없음,37.54199949,126.842614,2022-11-30
staywell cafe,마포구,서울특별시 마포구 백범로 152,02-3273-0408,수~월 09:30~18:00,매주 화요일,Y,소형,제한사항 없음,Y,N,없음,37.54474774,126.948258,2022-11-30
