id,facility_name,district_name,address,phone,operating_hours,closed_day,parking_available,pet_size_limit,pet_restrictions,indoor,outdoor,pet_extra_fee,latitude,longitude,last_updated_date
134,케슬리 샌드위치,노원구,서울특별시 노원구 상계로1길 74,02-933-8537,수~월 10:00~21:00,매주 화요일,Y,모두 가능,제한사항 없음,Y,N,없음,37.65944318,127.06153200,2022-11-30
135,코셔엘리푸드,용산구,서울특별시 용산구 회나무로26길 43,0507-1401-8222,일~목 08:00~17:30,"매주 금, 토",N,모두 가능,제한사항 없음,Y,N,없음,37.53856905,126.98994200,2022-11-30
136,코스모스상점,성동구,서울특별시 성동구 성수이로7길 27,0507-1402-7878,매일 11:00~20:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.54157394,127.05343900,2022-11-30
137,코코샌드 카페,마포구,서울특별시 마포구 양화로23길 22-7,02-3144-1112,매일 12:00~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.55967262,126.92525200,2022-11-30
138,클리어스펫푸드,마포구,서울특별시 마포구 동교로29길 48,,정보없음,정보없음,N,모두 가능,제한사항 없음,Y,N,없음,37.56252547,126.92278100,2022-11-30
139,킨더독,송파구,서울특별시 송파구 삼전로 53,02-6959-5979,토~일 12:00~20:00,매주 월~금,Y,10kg 이하,맹견류 입장 불가,Y,N,없음,37.50389477,127.08726600,2022-11-30
140,테이블에이 본점,마포구,서울특별시 마포구 와우산로 146,02-324-5542,매일 12:00~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.55406140,126.92951700,2022-11-30
141,톨리커피,노원구,서울특별시 노원구 상계로9나길 9,0507-1345-9868,수~월 11:00~20:00,매주 화요일,N,모두 가능,제한사항 없음,Y,N,없음,37.66018884,127.06806500,2022-11-30
142,투테일즈 수제간식,성동구,서울특별시 성동구 성덕정길 33,070-8065-3420,화~일 12:00~20:00,매주 월요일,N,모두 가능,제한사항 없음,Y,N,없음,37.53904486,127.04748000,2022-11-30
143,펠앤콜,마포구,서울특별시 마포구 와우산로 39-21,070-4411-1434,매일 12:00~21:00,연중무휴,N,모두 가능,제한사항 없음,Y,N,없음,37.54816344,126.92216600,2022-11-30
144,펫티 애견카페,강서구,서울특별시 강서구 공항대로 222,0507-1333-0043,매일 10:30~21:00,연중무휴,Y,소형,제한사항 없음,Y,Y,"3,000원",37.55866871,126.83217300,2022-11-30
145,포동푸딩,성동구,서울특별시 성동구 서울특별시숲2길 21,0507-1360-8308,화~일 11:30~20:30,매주 월요일,N,모두 가능,제한사항 없음,Y,N,없음,37.54711357,127.04101400,2022-11-30
146,포포앤미루 강동점,강동구,서울특별시 강동구 양재대로89가길 30,02-471-8825,수~월 13:00~21:00,매주 화요일,Y,모두 가능,제한사항 없음,Y,N,없음,37.52526883,127.13424500,2022-11-30
147,프리독애견카페,동작구,서울특별시 동작구 여의대방로22바길 2,070-8628-5314,화~일 11:00~21:00,매주 월요일,N,모두 가능,제한사항 없음,Y,N,없음,37.49756878,126.92292500,2022-11-30
148,하우디,송파구,서울특별시 송파구 송이로 6,,"월~토 10:00~21:00, 일 11:00~21:00",매주 화요일,Y,모두 가능,안고 있어야 함,Y,N,없음,37.50395293,127.11499700,2022-11-30
149,한남베르그,용산구,서울특별시 용산구 이태원로54길 58,0507-1331-1750,매일 11:00~22:00,연중무휴,N,모두 가능,제한사항 없음,Y,N,없음,37.53597243,127.00095800,2022-11-30
150,한스펌킨 쇼룸 카페,서초구,서울특별시 서초구 양재천로 97,02-502-1502,월~금 11:00~18:00,"매주 토, 일",N,모두 가능,실외만 동반 가능,Y,Y,없음,37.47623988,127.03988000,2022-11-30
151,행복감,서대문구,서울특별시 서대문구 연희로11가길 51,02-6052-5380,매일 11:00~20:00,연중무휴,N,모두 가능,제한사항 없음,Y,N,없음,37.56634872,126.92755000,2022-11-30
152,헌드레드일레븐,서초구,서울특별시 서초구 서초대로 3-4,,매일 08:00~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.48603179,126.98308400,2022-11-30
153,험블커피,송파구,서울특별시 송파구 오금로38가길 33,02-400-1579,"월~금 08:00~19:00, 토~일 09:00~19:00",연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.49944981,127.12694500,2022-11-30
154,혼자두면장판뜯어서차린개카페,관악구,서울특별시 관악구 남부순환로 1665,0507-1400-3058,매일 11:00~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,Y,없음,37.48512152,126.93567600,2022-11-30
155,fondcoffee,마포구,서울특별시 마포구 동교로15길 32,,토~월 12:00~21:00,매주 금요일,N,모두 가능,제한사항 없음,Y,N,없음,37.55611910,126.91414600,2022-11-30
156,Im,서초구,서울특별시 서초구 동광로 183,02-593-6700,매일 08:00~19:00,연중무휴,Y,모두 가능,제한사항 없음,Y,Y,없음,37.49380373,127.00171400,2022-11-30
157,JOFREE CAKE,성동구,서울특별시 성동구 성덕정길 42,0507-1321-6925,화~일 10:00~20:00,매주 월요일,Y,모두 가능,제한사항 없음,Y,N,없음,37.53854178,127.04827100,2022-11-30
158,OMW 애견카페,강서구,서울특별시 강서구 화곡로 194-26,0507-1332-4725,화~일 12:00~21:00,매주 월요일,Y,모두 가능,제한사항 없음,Y,Y,없음,37.54199949,126.84261400,2022-11-30
159,staywell cafe,마포구,서울특별시 마포구 백범로 152,02-3273-0408,수~월 09:30~18:00,매주 화요일,Y,소형,제한사항 없음,Y,N,없음,37.54474774,126.94825800,2022-11-30
